label,x,y,plot_type,plot_num
WADD,0.0,57120.654608293575,path,0
WADD,43065.97011423468,57120.654608293575,path,0
WADD,44175.8264942015,57120.654608293575,path,0
WADD,45314.28506705718,57120.654608293575,path,0
WADD,46482.082942082525,57120.654608293575,path,0
WADD,47679.97622465752,57120.654608293575,path,0
WADD,48908.740505811176,57120.654608293575,path,0
WADD,50169.1713643877,57120.654608293575,path,0
WADD,51462.08488215402,57120.654608293575,path,0
WADD,52788.31817218211,57120.654608293575,path,0
WADD,54148.72992084835,57120.654608293575,path,0
WADD,55544.200943800875,57120.654608293575,path,0
WADD,56975.634756254585,190769.33113910237,path,0
WADD,58443.958157983485,190769.33113910237,path,0
WADD,59950.12183338882,190769.33113910237,path,0
WADD,61495.10096703156,190769.33113910237,path,0
WADD,63079.89587502794,190769.33113910237,path,0
WADD,64705.53265271665,190769.33113910237,path,0
WADD,66373.06383901706,190769.33113910237,path,0
WADD,68083.56909790893,190769.33113910237,path,0
WADD,69838.15591747416,190769.33113910237,path,0
WADD,71637.960326954,190769.33113910237,path,0
WADD,73484.14763228534,190769.33113910237,path,0
WADD,75377.91317059277,190769.33113910237,path,0
WADD,77320.48308412447,190769.33113910237,path,0
WADD,79313.1151141334,190769.33113910237,path,0
WADD,81357.09941521776,186825.9742209085,path,0
WADD,83453.75939064761,186825.9742209085,path,0
WADD,85604.45254921904,186825.9742209085,path,0
WADD,87810.57138419017,186825.9742209085,path,0
WADD,90073.54427486849,186825.9742209085,path,0
WADD,92394.8364114328,186825.9742209085,path,0
WADD,94775.95074358908,186825.9742209085,path,0
WADD,97218.42895367417,186825.9742209085,path,0
WADD,99723.85245483715,186825.9742209085,path,0
WADD,102293.84341494528,186825.9742209085,path,0
WADD,104930.06580687691,186825.9742209085,path,0
WADD,107634.2264858815,186825.9742209085,path,0
WADD,110408.07629470454,186825.9742209085,path,0
WADD,113253.41119719265,186825.9742209085,path,0
WADD,116172.07344111279,186825.9742209085,path,0
WADD,119165.95275093881,186825.9742209085,path,0
WADD,122236.98755137715,186825.9742209085,path,0
WADD,125387.16622242442,186825.9742209085,path,0
WADD,128618.52838676867,201350.22348058072,path,0
WADD,131933.1662303689,201350.22348058072,path,0
WADD,135333.225857067,201350.22348058072,path,0
WADD,138820.9086781098,201350.22348058072,path,0
WADD,142398.4728374799,201350.22348058072,path,0
WADD,146068.23467395993,201350.22348058072,path,0
WADD,149832.57022087474,201350.22348058072,path,0
WADD,153693.9167444841,201350.22348058072,path,0
WADD,157654.77432202123,201350.22348058072,path,0
WADD,161717.7074603993,201350.22348058072,path,0
WADD,165885.34675663352,201350.22348058072,path,0
WADD,170160.39060105407,201350.22348058072,path,0
WADD,174545.60692441283,201350.22348058072,path,0
WADD,179043.83499001517,201350.22348058072,path,0
WADD,183657.9872320359,201350.22348058072,path,0
WADD,188391.05114121197,201350.22348058072,path,0
WADD,193246.09119913046,230569.87869879775,path,0
WADD,198226.25086236568,230569.87869879775,path,0
WADD,203334.75459774953,230569.87869879775,path,0
WADD,208574.90997009323,230569.87869879775,path,0
WADD,213950.10978371123,230569.87869879775,path,0
WADD,219463.83427913522,230569.87869879775,path,0
WADD,225119.6533864394,230569.87869879775,path,0
WADD,230921.22903663648,230569.87869879775,path,0
WADD,236872.31753264085,230569.87869879775,path,0
WADD,242976.77198133396,230569.87869879775,path,0
WADD,249238.54478830696,230569.87869879775,path,0
WADD,255661.69021689487,230569.87869879775,path,0
WADD,262250.3670131604,230569.87869879775,path,0
WADD,269008.8410985262,152835.136462713,path,0
WADD,275941.4883317995,152835.136462713,path,0
WADD,283052.7973423762,152835.136462713,path,0
WADD,290347.37243646086,152835.136462713,path,0
WADD,297829.9365781821,152835.136462713,path,0
WADD,305505.3344475349,152835.136462713,path,0
WADD,313378.5355771298,152835.136462713,path,0
WADD,321454.6375697789,152835.136462713,path,0
WADD,329738.86939900264,152835.136462713,path,0
WADD,338236.5947945943,152835.136462713,path,0
WADD,346953.3157154346,152835.136462713,path,0
WADD,355894.6759118031,152835.136462713,path,0
WADD,365066.4645794961,152835.136462713,path,0
WADD,374474.6201081128,248937.60615846756,path,0
WADD,384125.23392594187,248937.60615846756,path,0
WADD,394024.554443931,248937.60615846756,path,0
WADD,404178.9911013007,248937.60615846756,path,0
WADD,414595.1185154157,248937.60615846756,path,0
WADD,425279.6807386021,248937.60615846756,path,0
WADD,436239.5956246707,248937.60615846756,path,0
WADD,447481.9593079669,248937.60615846756,path,0
WADD,459014.05079785164,248937.60615846756,path,0
WADD,470843.33669158857,248937.60615846756,path,0
WADD,482977.47600868467,248937.60615846756,path,0
WADD,495424.3251498196,248937.60615846756,path,0
WADD,508191.94298357057,248937.60615846756,path,0
WADD,521288.5960642269,248937.60615846756,path,0
WADD,534722.7639840761,508632.59029253677,path,0
