label,x,y,plot_type,plot_num
CLEW,0.0,56762.19682280684,path,0
CLEW,39132.48527756006,56762.19682280684,path,0
CLEW,40151.334683933506,56762.19682280684,path,0
CLEW,41196.71074982027,56762.19682280684,path,0
CLEW,42269.304120629306,56762.19682280684,path,0
CLEW,43369.823423343194,56762.19682280684,path,0
CLEW,44498.99573468456,56762.19682280684,path,0
CLEW,45657.56706147163,56762.19682280684,path,0
CLEW,46846.30283348024,56762.19682280684,path,0
CLEW,48065.988409138066,56762.19682280684,path,0
CLEW,49317.42959438488,56762.19682280684,path,0
CLEW,50601.45317504197,56762.19682280684,path,0
CLEW,51918.907463042146,56762.19682280684,path,0
CLEW,53270.66285688144,56762.19682280684,path,0
CLEW,54657.61241666258,205709.36557766594,path,0
CLEW,56080.672454110296,205709.36557766594,path,0
CLEW,57540.78313794817,205709.36557766594,path,0
CLEW,59038.90911503707,205709.36557766594,path,0
CLEW,60576.04014768541,205709.36557766594,path,0
CLEW,62153.19176755235,205709.36557766594,path,0
CLEW,63771.40594657611,205709.36557766594,path,0
CLEW,65431.75178537023,205709.36557766594,path,0
CLEW,67135.32621954315,205709.36557766594,path,0
CLEW,68883.25474440718,205709.36557766594,path,0
CLEW,70676.69215855616,205709.36557766594,path,0
CLEW,72516.82332680264,205709.36557766594,path,0
CLEW,74404.86396297884,205709.36557766594,path,0
CLEW,76342.0614331188,205709.36557766594,path,0
CLEW,78329.69557955163,177619.2685393806,path,0
CLEW,80369.0795664512,177619.2685393806,path,0
CLEW,82461.56074740022,177619.2685393806,path,0
CLEW,84608.52155554226,177619.2685393806,path,0
CLEW,86811.38041690957,177619.2685393806,path,0
CLEW,89071.59268753036,177619.2685393806,path,0
CLEW,91390.65161493426,177619.2685393806,path,0
CLEW,93770.08932469181,177619.2685393806,path,0
CLEW,96211.477832639,177619.2685393806,path,0
CLEW,98716.43008345623,177619.2685393806,path,0
CLEW,101286.60101628758,177619.2685393806,path,0
CLEW,103923.6886581043,177619.2685393806,path,0
CLEW,106629.43524553523,177619.2685393806,path,0
CLEW,109405.62837590477,177619.2685393806,path,0
CLEW,112254.10218823951,177619.2685393806,path,0
CLEW,115176.73857502315,177619.2685393806,path,0
CLEW,118175.4684255007,177619.2685393806,path,0
CLEW,121252.27290135314,177817.33389754404,path,0
CLEW,124409.1847455854,177817.33389754404,path,0
CLEW,127648.28962549267,177817.33389754404,path,0
CLEW,130971.7275105916,177817.33389754404,path,0
CLEW,134381.69408642754,177817.33389754404,path,0
CLEW,137880.44220519133,177817.33389754404,path,0
CLEW,141470.28337410433,177817.33389754404,path,0
CLEW,145153.58928255484,177817.33389754404,path,0
CLEW,148932.79336899484,177817.33389754404,path,0
CLEW,152810.39242863216,177817.33389754404,path,0
CLEW,156788.948262981,177817.33389754404,path,0
CLEW,160871.08937235895,177817.33389754404,path,0
CLEW,165059.51269245066,177817.33389754404,path,0
CLEW,169356.98537608387,177817.33389754404,path,0
CLEW,173766.346621396,177817.33389754404,path,0
CLEW,178290.50954759822,176999.79171120195,path,0
CLEW,182932.46311957735,176999.79171120195,path,0
CLEW,187695.27412260586,176999.79171120195,path,0
CLEW,192582.08918846564,176999.79171120195,path,0
CLEW,197596.13687432377,176999.79171120195,path,0
CLEW,202740.72979573315,176999.79171120195,path,0
CLEW,208019.26681516835,176999.79171120195,path,0
CLEW,213435.23528754155,176999.79171120195,path,0
CLEW,218992.2133641828,176999.79171120195,path,0
CLEW,224693.87235680627,176999.79171120195,path,0
CLEW,230543.97916302437,176999.79171120195,path,0
CLEW,236546.39875501266,176999.79171120195,path,0
CLEW,242705.09673296913,176999.79171120195,path,0
CLEW,249024.14194505525,176999.79171120195,path,0
CLEW,255507.70917554927,187666.77217656354,path,0
CLEW,262160.08190298826,187666.77217656354,path,0
CLEW,268985.65513012087,187666.77217656354,path,0
CLEW,275988.93828754016,187666.77217656354,path,0
CLEW,283174.55821291567,187666.77217656354,path,0
CLEW,290547.2622077917,187666.77217656354,path,0
CLEW,298111.9211739726,187666.77217656354,path,0
CLEW,305873.53283156693,187666.77217656354,path,0
CLEW,313837.22502081556,187666.77217656354,path,0
CLEW,322008.2590898862,187666.77217656354,path,0
CLEW,330392.0333708724,187666.77217656354,path,0
CLEW,338994.08674629306,187666.77217656354,path,0
CLEW,347820.1023084486,200370.21550996517,path,0
CLEW,356875.911114053,200370.21550996517,path,0
CLEW,366167.49603661965,200370.21550996517,path,0
CLEW,375700.9957191479,200370.21550996517,path,0
CLEW,385482.7086297223,200370.21550996517,path,0
CLEW,395519.0972227012,200370.21550996517,path,0
CLEW,405816.79220824805,200370.21550996517,path,0
CLEW,416382.5969330209,200370.21550996517,path,0
CLEW,427223.49187492,200370.21550996517,path,0
CLEW,438346.639254858,200370.21550996517,path,0
CLEW,449759.38776860264,200370.21550996517,path,0
CLEW,461469.27744181745,200370.21550996517,path,0
CLEW,473484.0446115067,200370.21550996517,path,0
CLEW,485811.6270371586,200370.21550996517,path,0
CLEW,498460.16914495995,481279.77710537496,path,0
