label,x,y,plot_type,plot_num
HYPP,0.0,45688.37335779655,path,0
HYPP,31117.48389549545,45688.37335779655,path,0
HYPP,32006.782246515897,45688.37335779655,path,0
HYPP,32921.495620157824,45688.37335779655,path,0
HYPP,33862.35034563809,45688.37335779655,path,0
HYPP,34830.09350974436,45688.37335779655,path,0
HYPP,35825.49355006019,45688.37335779655,path,0
HYPP,36849.34086514385,45688.37335779655,path,0
HYPP,37902.44844214517,45688.37335779655,path,0
HYPP,38985.652502358935,45688.37335779655,path,0
HYPP,40099.81316522739,45688.37335779655,path,0
HYPP,41245.81513131909,45688.37335779655,path,0
HYPP,42424.56838482639,145181.6130374846,path,0
HYPP,43637.00891613945,145181.6130374846,path,0
HYPP,44884.099465070525,145181.6130374846,path,0
HYPP,46166.83028531859,145181.6130374846,path,0
HYPP,47486.21993078145,145181.6130374846,path,0
HYPP,48843.31606433971,145181.6130374846,path,0
HYPP,50239.196289754575,145181.6130374846,path,0
HYPP,51674.96900734048,145181.6130374846,path,0
HYPP,53151.7742940916,145181.6130374846,path,0
HYPP,54670.78480896131,145181.6130374846,path,0
HYPP,56233.206724013406,145181.6130374846,path,0
HYPP,57840.28068218443,145181.6130374846,path,0
HYPP,59493.28278241761,165431.99682260695,path,0
HYPP,61193.52559295076,165431.99682260695,path,0
HYPP,62942.35919356254,165431.99682260695,path,0
HYPP,64741.17224760495,165431.99682260695,path,0
HYPP,66591.39310467301,165431.99682260695,path,0
HYPP,68494.49093478751,165431.99682260695,path,0
HYPP,70451.97689499102,165431.99682260695,path,0
HYPP,72465.40532928404,165431.99682260695,path,0
HYPP,74536.37500285362,165431.99682260695,path,0
HYPP,76666.53037157461,165431.99682260695,path,0
HYPP,78857.56288779195,165431.99682260695,path,0
HYPP,81111.21234342022,165431.99682260695,path,0
HYPP,83429.26825142742,165431.99682260695,path,0
HYPP,85813.57126679998,165431.99682260695,path,0
HYPP,88266.0146481168,165431.99682260695,path,0
HYPP,90788.54576089355,165431.99682260695,path,0
HYPP,93383.16762389046,165431.99682260695,path,0
HYPP,96051.94049961171,165431.99682260695,path,0
HYPP,98796.9835302593,165431.99682260695,path,0
HYPP,101620.47642044033,182930.60692662204,path,0
HYPP,104524.66116796393,182930.60692662204,path,0
HYPP,107511.84384410236,182930.60692662204,path,0
HYPP,110584.3964247295,182930.60692662204,path,0
HYPP,113744.75867379097,182930.60692662204,path,0
HYPP,116995.44008060175,182930.60692662204,path,0
HYPP,120339.02185250884,182930.60692662204,path,0
HYPP,123778.15896450201,182930.60692662204,path,0
HYPP,127315.58226740001,182930.60692662204,path,0
HYPP,130954.1006562854,182930.60692662204,path,0
HYPP,134696.60330091143,182930.60692662204,path,0
HYPP,138546.0619398503,182930.60692662204,path,0
HYPP,142505.53324020567,182930.60692662204,path,0
HYPP,146578.16122476294,182930.60692662204,path,0
HYPP,150767.17976850388,182930.60692662204,path,0
HYPP,155075.91516646903,198000.58161920088,path,0
HYPP,159507.78877500625,198000.58161920088,path,0
HYPP,164066.31972850228,198000.58161920088,path,0
HYPP,168755.1277337559,198000.58161920088,path,0
HYPP,173577.93594421016,198000.58161920088,path,0
HYPP,178538.57391632668,198000.58161920088,path,0
HYPP,183640.98065044935,198000.58161920088,path,0
HYPP,188889.2077185724,198000.58161920088,path,0
HYPP,194287.42248149548,198000.58161920088,path,0
HYPP,199839.91139792156,198000.58161920088,path,0
HYPP,205551.0834281245,198000.58161920088,path,0
HYPP,211425.47353488882,198000.58161920088,path,0
HYPP,217467.7462845024,198000.58161920088,path,0
HYPP,223682.6995506608,198000.58161920088,path,0
HYPP,230075.26832422416,198000.58161920088,path,0
HYPP,236650.52863185256,155484.10831081888,path,0
HYPP,243413.70156663115,155484.10831081888,path,0
HYPP,250370.15743388474,155484.10831081888,path,0
HYPP,257525.4200154752,155484.10831081888,path,0
HYPP,264885.1709559669,155484.10831081888,path,0
HYPP,272455.2542741432,155484.10831081888,path,0
HYPP,280241.6810034561,155484.10831081888,path,0
HYPP,288250.6339650948,155484.10831081888,path,0
HYPP,296488.4726774614,155484.10831081888,path,0
HYPP,304961.73840595444,155484.10831081888,path,0
HYPP,313677.1593570681,155484.10831081888,path,0
HYPP,322641.65602093237,155484.10831081888,path,0
HYPP,331862.3466665361,155484.10831081888,path,0
HYPP,341346.5529939972,238059.63993520298,path,0
HYPP,351101.8059483666,238059.63993520298,path,0
HYPP,361135.85169958434,238059.63993520298,path,0
HYPP,371456.6577933346,238059.63993520298,path,0
HYPP,382072.4194776846,238059.63993520298,path,0
HYPP,392991.5662105309,238059.63993520298,path,0
HYPP,404222.7683530201,238059.63993520298,path,0
HYPP,415774.9440542598,238059.63993520298,path,0
HYPP,427657.26633278426,238059.63993520298,path,0
HYPP,439879.1703604011,238059.63993520298,path,0
HYPP,452450.36095420015,238059.63993520298,path,0
HYPP,465380.82028267503,238059.63993520298,path,0
HYPP,478680.81579207507,238059.63993520298,path,0
HYPP,492360.9083592841,238059.63993520298,path,0
HYPP,506431.9606776956,474864.20659256395,path,0
