label,x,y,plot_type,plot_num
WADD,0.0,47750.38865330007,path,0
WADD,34410.60288045076,47750.38865330007,path,0
WADD,35360.46568454802,47750.38865330007,path,0
WADD,36336.548295073604,47750.38865330007,path,0
WADD,37339.574477866314,47750.38865330007,path,0
WADD,38370.287977439846,47750.38865330007,path,0
WADD,39429.45306846986,47750.38865330007,path,0
WADD,40517.85512250407,47750.38865330007,path,0
WADD,41636.30119031572,47750.38865330007,path,0
WADD,42785.62060033221,47750.38865330007,path,0
WADD,43966.665573582635,47750.38865330007,path,0
WADD,45180.31185562019,47750.38865330007,path,0
WADD,46427.459365888,47750.38865330007,path,0
WADD,47709.0328650099,176853.2891115028,path,0
WADD,49025.98264050111,176853.2891115028,path,0
WADD,50379.28521140684,176853.2891115028,path,0
WADD,51769.94405239183,176853.2891115028,path,0
WADD,53198.99033781742,176853.2891115028,path,0
WADD,54667.48370635791,176853.2891115028,path,0
WADD,56176.51304672331,176853.2891115028,path,0
WADD,57727.19730507096,176853.2891115028,path,0
WADD,59320.686314704726,176853.2891115028,path,0
WADD,60958.161648677175,176853.2891115028,path,0
WADD,62640.83749592662,176853.2891115028,path,0
WADD,64369.96156159897,176853.2891115028,path,0
WADD,66146.81599222185,176853.2891115028,path,0
WADD,67972.718326417,178631.92481324344,path,0
WADD,69849.02247185596,178631.92481324344,path,0
WADD,71777.11970918342,178631.92481324344,path,0
WADD,73758.43972365267,178631.92481324344,path,0
WADD,75794.45166523797,178631.92481324344,path,0
WADD,77886.66523801029,178631.92481324344,path,0
WADD,80036.63181958364,178631.92481324344,path,0
WADD,82245.9456114626,178631.92481324344,path,0
WADD,84516.24482114363,178631.92481324344,path,0
WADD,86849.21287684687,178631.92481324344,path,0
WADD,89246.57967577931,178631.92481324344,path,0
WADD,91710.12286685445,178631.92481324344,path,0
WADD,94241.66916882014,178631.92481324344,path,0
WADD,96843.09572477154,178631.92481324344,path,0
WADD,99516.33149405385,178631.92481324344,path,0
WADD,102263.358682587,178631.92481324344,path,0
WADD,105086.2142126722,178631.92481324344,path,0
WADD,107986.99123337127,178631.92481324344,path,0
WADD,110967.840672578,178631.92481324344,path,0
WADD,114030.97283193214,193288.02181406404,path,0
WADD,117178.65902575971,193288.02181406404,path,0
WADD,120413.2332652537,193288.02181406404,path,0
WADD,123737.09398914503,193288.02181406404,path,0
WADD,127152.70584214595,193288.02181406404,path,0
WADD,130662.60150248588,193288.02181406404,path,0
WADD,134269.38355989367,193288.02181406404,path,0
WADD,137975.7264454194,193288.02181406404,path,0
WADD,141784.37841452687,193288.02181406404,path,0
WADD,145698.16358492622,193288.02181406404,path,0
WADD,149719.98403065934,193288.02181406404,path,0
WADD,153852.8219339892,193288.02181406404,path,0
WADD,158099.74179669004,193288.02181406404,path,0
WADD,162463.89271237687,193288.02181406404,path,0
WADD,166948.51070156082,193288.02181406404,path,0
WADD,171556.92111115984,193288.02181406404,path,0
WADD,176292.5410802455,222655.99911455813,path,0
WADD,181158.88207385378,222655.99911455813,path,0
WADD,186159.55248673848,222655.99911455813,path,0
WADD,191298.260318998,222655.99911455813,path,0
WADD,196578.8159255597,222655.99911455813,path,0
WADD,202005.13484156018,222655.99911455813,path,0
WADD,207581.24068571726,222655.99911455813,path,0
WADD,213311.26814384531,222655.99911455813,path,0
WADD,219199.46603472752,222655.99911455813,path,0
WADD,225250.2004606174,222655.99911455813,path,0
WADD,231467.95804470626,222655.99911455813,path,0
WADD,237857.349257957,222655.99911455813,path,0
WADD,244423.11183777096,222655.99911455813,path,0
WADD,251170.11430102345,149511.28181705397,path,0
WADD,258103.3595540713,149511.28181705397,path,0
WADD,265227.98860241135,149511.28181705397,path,0
WADD,272549.284362739,149511.28181705397,path,0
WADD,280072.6755802341,149511.28181705397,path,0
WADD,287803.7408539785,149511.28181705397,path,0
WADD,295748.2127734911,149511.28181705397,path,0
WADD,303911.982169446,149511.28181705397,path,0
WADD,312301.1024817271,149511.28181705397,path,0
WADD,320921.7942480573,149511.28181705397,path,0
WADD,329780.449716531,149511.28181705397,path,0
WADD,338883.63758547005,149511.28181705397,path,0
WADD,348238.10787411727,226366.59271969384,path,0
WADD,357850.79692777974,226366.59271969384,path,0
WADD,367728.83256113296,226366.59271969384,path,0
WADD,377879.53934350004,226366.59271969384,path,0
WADD,388310.4440300237,226366.59271969384,path,0
WADD,399029.2811427602,226366.59271969384,path,0
WADD,410043.99870583136,226366.59271969384,path,0
WADD,421362.7641388906,226366.59271969384,path,0
WADD,432993.9703132678,226366.59271969384,path,0
WADD,444946.2417752893,226366.59271969384,path,0
WADD,457228.4411413842,226366.59271969384,path,0
WADD,469849.6756697194,226366.59271969384,path,0
WADD,482819.3040132371,226366.59271969384,path,0
WADD,496146.94315910194,226366.59271969384,path,0
WADD,509842.4755597018,493210.9296697436,path,0
