label,x,y,plot_type,plot_num
CLEW,0.0,67869.80929751575,path,0
CLEW,49466.09105915902,67869.80929751575,path,0
CLEW,50662.75210974661,67869.80929751575,path,0
CLEW,51888.36223715292,67869.80929751575,path,0
CLEW,53143.62176420391,67869.80929751575,path,0
CLEW,54429.24795561503,67869.80929751575,path,0
CLEW,55745.97542784166,67869.80929751575,path,0
CLEW,57094.556568844506,67869.80929751575,path,0
CLEW,58475.761968009676,67869.80929751575,path,0
CLEW,59890.380856469266,67869.80929751575,path,0
CLEW,61339.221558073965,67869.80929751575,path,0
CLEW,62823.11195127532,67869.80929751575,path,0
CLEW,64342.89994218178,67869.80929751575,path,0
CLEW,65899.45394905852,205120.4915423508,path,0
CLEW,67493.66339854822,205120.4915423508,path,0
CLEW,69126.43923389609,205120.4915423508,path,0
CLEW,70798.71443546968,205120.4915423508,path,0
CLEW,72511.44455387094,205120.4915423508,path,0
CLEW,74265.60825594484,205120.4915423508,path,0
CLEW,76062.20788399714,205120.4915423508,path,0
CLEW,77902.27002854015,205120.4915423508,path,0
CLEW,79786.84611489436,205120.4915423508,path,0
CLEW,81717.01300398074,205120.4915423508,path,0
CLEW,83693.87360764708,205120.4915423508,path,0
CLEW,85718.55751888022,205120.4915423508,path,0
CLEW,87792.22165726383,205120.4915423508,path,0
CLEW,89916.05093005105,205120.4915423508,path,0
CLEW,92091.25890922933,188632.21695116366,path,0
CLEW,94319.08852496461,188632.21695116366,path,0
CLEW,96600.8127758209,188632.21695116366,path,0
CLEW,98937.73545616123,188632.21695116366,path,0
CLEW,101331.19190114559,188632.21695116366,path,0
CLEW,103782.54974975139,188632.21695116366,path,0
CLEW,106293.20972625261,188632.21695116366,path,0
CLEW,108864.60644060436,188632.21695116366,path,0
CLEW,111498.2092081895,188632.21695116366,path,0
CLEW,114195.52288939661,188632.21695116366,path,0
CLEW,116958.08874950862,188632.21695116366,path,0
CLEW,119787.48533939317,188632.21695116366,path,0
CLEW,122685.32939749859,188632.21695116366,path,0
CLEW,125653.27677367018,188632.21695116366,path,0
CLEW,128693.02337531543,188632.21695116366,path,0
CLEW,131806.30613645818,188632.21695116366,path,0
CLEW,134994.9040102358,188632.21695116366,path,0
CLEW,138260.63898540623,189216.79998013313,path,0
CLEW,141605.37712744618,189216.79998013313,path,0
CLEW,145031.02964483475,189216.79998013313,path,0
CLEW,148539.55398113266,189216.79998013313,path,0
CLEW,152132.95493347986,189216.79998013313,path,0
CLEW,155813.28579815172,189216.79998013313,path,0
CLEW,159582.64954382816,189216.79998013313,path,0
CLEW,163443.2000132453,189216.79998013313,path,0
CLEW,167397.14315391795,189216.79998013313,path,0
CLEW,171446.73827863397,189216.79998013313,path,0
CLEW,175594.299356443,189216.79998013313,path,0
CLEW,179842.19633487563,189216.79998013313,path,0
CLEW,184192.856494149,189216.79998013313,path,0
CLEW,188648.76583413326,189216.79998013313,path,0
CLEW,193212.47049487027,189216.79998013313,path,0
CLEW,197886.57821145738,189800.07823146888,path,0
CLEW,202673.75980412666,189800.07823146888,path,0
CLEW,207576.75070437154,189800.07823146888,path,0
CLEW,212598.35251799336,189800.07823146888,path,0
CLEW,217741.43462595926,189800.07823146888,path,0
CLEW,223008.93582398866,189800.07823146888,path,0
CLEW,228403.86600180267,189800.07823146888,path,0
CLEW,233929.30786299813,189800.07823146888,path,0
CLEW,239588.4186865273,189800.07823146888,path,0
CLEW,245384.43213079064,189800.07823146888,path,0
CLEW,251320.66008137385,189800.07823146888,path,0
CLEW,257400.49454348377,189800.07823146888,path,0
CLEW,263627.40958016604,189800.07823146888,path,0
CLEW,270004.9632974104,182298.75738110466,path,0
CLEW,276536.7998772793,182298.75738110466,path,0
CLEW,283226.65166022116,182298.75738110466,path,0
CLEW,290078.3412777571,182298.75738110466,path,0
CLEW,297095.7838367619,182298.75738110466,path,0
CLEW,304282.989156585,182298.75738110466,path,0
CLEW,311644.0640602918,182298.75738110466,path,0
CLEW,319183.2147213329,182298.75738110466,path,0
CLEW,326904.749066983,182298.75738110466,path,0
CLEW,334813.0792399237,182298.75738110466,path,0
CLEW,342912.72411937325,182298.75738110466,path,0
CLEW,351208.3119032107,182298.75738110466,path,0
CLEW,359704.58275256,182298.75738110466,path,0
CLEW,368406.3915003557,223081.47344496314,path,0
CLEW,377318.71042543027,223081.47344496314,path,0
CLEW,386446.6320937109,223081.47344496314,path,0
CLEW,395795.3722681517,223081.47344496314,path,0
CLEW,405370.27288905723,223081.47344496314,path,0
CLEW,415176.80512650963,223081.47344496314,path,0
CLEW,425220.5725066351,223081.47344496314,path,0
CLEW,435507.3141135003,223081.47344496314,path,0
CLEW,446042.90786847024,223081.47344496314,path,0
CLEW,456833.3738888937,223081.47344496314,path,0
CLEW,467884.87792804564,223081.47344496314,path,0
CLEW,479203.73489828454,223081.47344496314,path,0
CLEW,490796.41247943917,223081.47344496314,path,0
CLEW,502669.5348144924,223081.47344496314,path,0
CLEW,514829.886294663,223081.47344496314,path,0
CLEW,527284.4154360594,497075.7155244144,path,0
